20170527102623.02,24.9120,103.8210,2.9,0.8
20170527014336.59,24.9962,103.2193,21.5,0.6
20170529045430.08,24.8558,102.8238,9.3,0.3
20170601051956.09,25.2397,103.1197,23.5,0.8
20170602030034.81,25.1533,103.0595,19.4,0.8
20170607152941.25,25.1117,102.9948,13.9,0.3
20170608034028.33,24.8997,102.7593,12.9,0.5
20170609045645.02,25.2430,103.0550,22.9,0.7
20170609050908.64,25.1378,103.0605,20.4,0.8
20170610034603.18,25.0490,103.0823,27.5,0.3
20170611132230.24,24.9827,103.4375,5.4,0.4
20170616124403.81,25.0787,103.0328,16.2,0.2
20170617125847.46,25.0023,103.4243,19.0,0.6
20170618154400.38,24.5690,103.4223,9.4,1.0
20170618104230.06,24.5755,103.2965,16.8,0.3
20170619035146.62,25.0037,103.1905,19.3,0.4
20170620111332.17,24.7715,103.4952,-0.1,1.0
20170620034742.27,25.0002,103.2165,9.2,0.1
20170623023413.28,25.0395,103.0912,24.0,0.3
20170625045017.39,24.9738,103.1810,33.5,0.4
20170626045130.28,24.9527,103.4303,8.7,0.4
20170626102818.76,24.9493,103.4412,7.4,0.4
20170627035106.35,25.0403,103.0910,23.5,0.3
20170627052100.94,24.9948,103.2042,13.3,0.6
20170627094525.03,24.9503,102.8690,22.1,0.7
20170628081320.35,24.5782,102.8928,9.2,0.7
20170630033724.97,25.0008,103.2000,5.3,0.6
20170630022046.78,25.0527,103.1413,17.3,0.3
20170704054022.40,24.6973,103.3352,8.9,0.5
20170706104005.34,24.9437,102.8967,26.3,0.8
20170709040736.33,25.0257,103.1925,2.7,0.2
20170709180954.20,25.1165,103.1580,46.7,0.5
20170711164722.52,25.5708,103.2223,3.9,0.4
20170715060456.93,25.0453,103.1015,29.3,0.5
20170716225745.96,25.2413,103.1400,19.1,0.6
20170716090608.81,24.9818,102.7560,13.6,1.0
20170721025903.27,25.0113,103.1738,19.1,0.6
20170721082131.27,25.0020,103.1828,17.1,0.5
20170723034520.93,24.7442,103.5207,0.5,0.6
20170723093220.14,24.7740,103.5063,-0.2,1.0
20170723122106.76,24.7697,102.9643,16.1,0.8
20170723113348.06,24.8188,103.0080,12.6,0.1
20170726111733.27,24.9538,102.8855,23.3,0.8
20170730153029.67,25.4463,103.0827,7.4,0.3
20170730100626.38,24.9333,102.9078,27.2,1.0
20170801122911.13,25.3048,103.1428,4.4,0.9
20170801135830.87,24.8423,103.0522,9.2,-0.3
20170802045025.12,24.9530,102.8877,24.2,0.9
20170808125130.09,24.9618,102.8965,25.5,0.7
20170808033734.94,24.9782,103.1725,17.4,0.6
20170809040644.83,25.1223,103.1233,8.9,0.5
20170809114650.67,24.9943,103.4445,5.8,0.3
20170809111051.71,25.1237,103.1125,4.2,0.1
20170809113027.77,25.7877,104.0070,19.8,0.8
20170811120341.52,24.6715,103.5943,3.5,0.3
20170811225215.21,24.7778,103.0058,11.5,0.0
20170815040451.07,25.0008,103.1923,8.8,0.4
20170816104425.77,26.0050,103.2335,4.2,1.3
20170822163507.54,25.2128,103.1348,10.4,0.3
20170823201505.75,25.8503,103.1225,8.7,1.2
20170823042708.51,24.9603,102.8718,21.3,0.8
20170829090141.76,24.9807,103.4275,18.7,0.4
20170830035441.32,24.6828,103.3352,13.1,0.3
20170903224019.89,24.9020,102.9057,6.2,0.5
20170906095826.21,25.3988,103.1095,13.4,0.1
20170909075706.85,24.7477,103.5207,2.2,1.1
20170910220708.57,25.0927,103.1262,7.6,-0.1
20170911173411.11,25.0188,103.4547,13.0,0.9
20170911120042.70,24.9725,103.4252,1.6,0.6
20170913101534.16,24.9782,102.9120,16.2,0.6
20170913104639.11,25.3638,103.2617,20.1,0.6
20170914082318.54,24.5997,103.3313,8.7,0.5
20170915052759.50,24.6693,103.3355,12.8,0.7
20170916093141.25,24.9082,103.8285,1.1,0.9
20170917025615.92,25.0138,103.0858,22.9,0.2
20170918051638.94,24.8833,102.7625,5.8,0.5
20171109172314.62,25.1538,103.2083,9.6,-0.2
20171111064824.41,25.0327,103.1260,28.9,0.7
20171114040506.24,24.9158,102.8673,5.5,0.7
20171115041259.90,25.1307,103.0433,31.0,0.5
20171120045733.36,24.9182,102.8450,1.5,0.4
20171123100305.43,25.2842,103.8803,-0.3,0.6
20171124034155.97,24.9977,103.1878,10.7,0.3
20171124035539.16,25.0248,103.2258,19.7,0.2
20171125112546.73,24.7268,103.3560,6.4,0.7
20171125044538.68,24.9053,102.8612,5.2,0.5
20171129045205.39,24.9138,102.8715,6.9,0.5
20171129051631.50,25.1442,103.0998,23.3,0.8
20171130042853.34,25.0060,102.7577,14.0,0.6
20171203034353.49,25.0257,103.1823,18.0,0.1
20171203041131.50,25.0145,103.0923,29.1,0.2
